TRANSACTION DETAIL REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TUESDAY APRIL 12, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ METRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Transaction Type,Product,Date Time,Bus,Driver,Route,Run,Trip,FS,Fare Box,Orig Bus,Direction,Orig Dir.,Track2,Card ID / Sequence #,Keys,TTP,Grp,Designator,Mfr,Agency,Restored,1st Use,TPBC,Sec Cd,Longitude,Latitude,Imp. Val,Amt Chrg,Stop ID,Rem Val,Stop Abbr,Stop Name
1,119 - Got fare,Preset,4/12/2022 00:00:43,2220,700,710,6605,660511,1,31196,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:12:37,2322,614,18,1802,180216,1,31152,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:12:38,2322,614,18,1802,180216,1,31152,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:13:54,2322,614,18,1802,180216,1,31152,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC STAFF,4/12/2022 00:15:11,2322,614,18,1802,180216,1,31152,,Outbound,,,,2,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:15:13,2322,614,18,1802,180216,1,31152,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:23:32,1210,530,18,1554,155412,1,31149,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:38:56,1210,530,18,1554,155412,1,31149,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:38:58,1210,530,18,1554,155412,1,31149,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:43:21,1210,530,18,1554,155412,1,31149,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 00:43:22,1210,530,18,1554,155412,1,31149,,Outbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:20:34,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:20:40,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:20:46,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:20:59,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:21:04,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:21:08,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 04:21:15,1301,378,750,0,515,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,MST XFER,4/12/2022 04:21:25,1301,378,750,0,515,1,31175,,Outbound,,,,A,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:18:53,1209,720,8,0,999999,1,31202,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:19:02,1209,720,8,0,999999,1,31202,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:31:39,1301,378,750,7501,750101,1,31175,,Outbound,,,Seq #: 6688967,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 05:35:29,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 6689014,,7,1,4,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:35:36,9827,570,710,7101,710101,1,31177,,Inbound,,,Card ID 3425223,,8,1,5,123,5,,No,0,5,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:35:44,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 3425224,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 05:35:49,9827,570,710,7101,710101,1,31177,,Inbound,,,Card ID 3410710,,7,1,4,123,5,,No,0,5,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 05:35:54,9827,570,710,7101,710101,1,31177,,Inbound,,,Card ID 3425212,,7,1,4,123,5,,No,0,5,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 05:36:00,9827,570,710,7101,710101,1,31177,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,DUMP,4/12/2022 05:37:15,1301,378,750,7501,750101,1,31175,,Outbound,,,,DMP,,0,0,0,0,,,,,0.00000000,0.00000000,,1.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:37:30,1301,378,750,7501,750101,1,31175,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:38:14,2223,439,410,3502,350201,1,31193,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:38:41,2223,439,410,3502,350201,1,31193,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 05:39:18,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 6689064,,7,1,4,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:40:57,1005,720,9,0,9,1,31223,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,DUMP,4/12/2022 05:41:18,1005,720,9,0,9,1,31223,,Outbound,,,,DMP,,0,0,0,0,,,,,0.00000000,0.00000000,,0.01,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 05:43:34,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:43:37,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 3415006,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:43:41,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 6627534,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 05:43:52,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,116 - Stored value card,ST VALUE,4/12/2022 05:44:04,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 87296716,,14,3,1,123,0,No,No,,,0.00000000,0.00000000,0.00,-3.50,0       ,29.00,,
1,119 - Got fare,REDUCED,4/12/2022 05:44:04,4204,588,170,1701,170101,2,31209,,Outbound,,,,,16,6,16,0,0,,,,,0.00000000,0.00000000,,3.50,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:44:10,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 3376911,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:44:17,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 6627827,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 05:45:34,9827,570,710,7101,710101,1,31177,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:47:04,1301,378,750,7501,750102,1,31175,,Inbound,,,Seq #: 6688970,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,DAY PASS,4/12/2022 05:47:14,1301,378,750,7501,750102,1,31175,,Inbound,,,,,19,6,19,0,0,,,,,0.00000000,0.00000000,,6.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 05:48:57,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:49:06,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 6628158,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 05:50:01,2223,439,410,3502,350201,1,31193,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:50:26,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 6688968,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:51:42,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 6628100,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 05:52:45,2223,439,410,3502,350201,1,31193,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,116 - Stored value card,ST VALUE,4/12/2022 05:54:09,2226,517,660,3501,350101,1,31231,,Inbound,,,Seq #: 6816100,,14,3,1,123,0,No,No,,,0.00000000,0.00000000,0.00,-2.00,0       ,4.00,,
1,119 - Got fare,Preset,4/12/2022 05:54:09,2226,517,660,3501,350101,1,31231,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,FREE,4/12/2022 05:54:16,2226,517,660,3501,350101,1,31231,,Inbound,,,,D,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,MST XFER,4/12/2022 05:54:33,9827,570,710,7101,710101,1,31177,,Inbound,,,,A,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,DAY PASS,4/12/2022 05:55:56,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 1332843,,2,1,28,123,14,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 05:56:12,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 6688970,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,DAY PASS,4/12/2022 05:56:17,9827,570,710,7101,710101,1,31177,,Inbound,,,Seq #: 1332842,,2,1,28,123,14,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,REDUCED,4/12/2022 05:56:26,9827,570,710,7101,710101,1,31177,,Inbound,,,,,16,6,16,0,0,,,,,0.00000000,0.00000000,,1.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 05:56:38,9827,570,710,7101,710101,1,31177,,Inbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,UC/Gryhd,4/12/2022 05:57:56,9827,570,710,7101,710101,1,31177,,Inbound,,,,1,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:58:26,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 6921366,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:58:31,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 3376905,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:58:33,2811,617,693,7104,710401,1,31205,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 05:58:35,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 6921093,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EM D DAY,4/12/2022 05:58:38,2811,617,693,7104,710401,1,31205,,Outbound,,,,,32,6,9,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 05:58:41,9811,7989,8989,0,888,1,31195,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,BICYCLE,4/12/2022 05:59:46,1208,388,710,7102,710201,1,31176,,Inbound,,,,8,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 06:00:11,1208,388,710,7102,710201,1,31176,,Inbound,,,Card ID 3425246,,7,1,4,123,5,,No,0,5,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:00:20,1202,490,693,7103,710301,1,31218,,Inbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:00:29,1202,490,693,7103,710301,1,31218,,Inbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EM D DAY,4/12/2022 06:00:38,1202,490,693,7103,710301,1,31218,,Inbound,,,,,32,6,9,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,MST XFER,4/12/2022 06:00:51,1202,490,693,7103,710301,1,31218,,Inbound,,,,A,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:01:04,2223,439,410,3502,350201,1,31193,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:01:12,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D HW17,4/12/2022 06:01:22,4204,588,170,1701,170101,2,31209,,Outbound,,,Seq #: 6921294,,10,1,7,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:01:32,9817,416,910,4101,410101,1,31182,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 06:01:35,9817,416,910,4101,410101,1,31182,,Inbound,,,Seq #: 6627927,,8,1,5,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 06:01:53,2226,517,660,3501,350101,1,31231,,Inbound,,,Seq #: 6627546,,7,1,4,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:02:15,9827,570,710,7101,710101,1,31177,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:02:31,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:02:32,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:02:41,9827,570,710,7101,710101,1,31177,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,FREE,4/12/2022 06:03:08,9817,416,910,4101,410101,1,31182,,Inbound,,,,D,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:03:15,2226,517,660,3501,350101,1,31231,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:03:18,2226,517,660,3501,350101,1,31231,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,UC STAFF,4/12/2022 06:04:21,2226,517,660,3501,350101,1,31231,,Inbound,,,,2,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:04:34,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:04:41,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:04:47,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 06:05:17,2226,517,660,3501,350101,1,31231,,Inbound,,,Seq #: 6627429,,7,1,4,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,DAY PASS,4/12/2022 06:05:20,9817,416,910,4101,410101,1,31182,,Inbound,,,Seq #: 3422281,,2,1,28,123,5,,Yes,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:30,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,DAY PASS,4/12/2022 06:05:34,2226,517,660,3501,350101,1,31231,,Inbound,,,,,19,6,19,0,0,,,,,0.00000000,0.00000000,,6.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:38,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:38,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:42,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:48,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:51,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:05:59,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:06:16,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:06:33,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:06:40,4207,89889,88989,0,89898,2,31133,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:06:40,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:06:44,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:06:51,2813,487,19,1551,155101,1,31224,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:06:54,2813,487,19,1551,155101,1,31224,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,SHORT,4/12/2022 06:07:30,2226,517,660,3501,350101,1,31231,,Inbound,,,,,18,6,18,0,0,,,,,0.00000000,0.00000000,,1.90,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:08:16,2226,517,660,3501,350101,1,31231,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:08:21,1208,388,710,7102,710201,1,31176,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:09:28,1208,388,710,7102,710201,1,31176,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:09:38,9820,636,350,3551,355101,1,31145,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EM D DAY,4/12/2022 06:09:43,9820,636,350,3551,355101,1,31145,,Outbound,,,,,32,6,9,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:10:39,1208,388,710,7102,710201,1,31176,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,115 - Period pass,31D DISC,4/12/2022 06:12:01,9827,570,710,7101,710101,1,31177,,Inbound,,,Card ID 3409758,,8,1,5,123,5,,No,0,5,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:12:35,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,BICYCLE,4/12/2022 06:12:37,1208,388,710,7102,710201,1,31176,,Inbound,,,,8,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Mble Tic,4/12/2022 06:12:38,4204,588,170,1701,170101,2,31209,,Outbound,,,,C,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:12:57,1208,388,710,7102,710201,1,31176,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:13:58,2318,562,18,1801,180101,1,31215,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:14:02,2318,562,18,1801,180101,1,31215,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:16:35,1208,388,710,7102,710201,1,31176,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:18:12,1208,388,710,7102,710201,1,31176,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,BICYCLE,4/12/2022 06:19:19,2226,517,350,3501,350102,1,31231,,Outbound,,,,8,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,BICYCLE,4/12/2022 06:19:20,2226,517,350,3501,350102,1,31231,,Outbound,,,,8,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:19:36,1210,539,691,6901,690101,1,31149,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:19:50,1210,539,691,6901,690101,1,31149,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:19:52,4210,548,750,7501,750101,2,31239,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:19:56,1210,539,691,6901,690101,1,31149,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:20:02,2226,517,350,3501,350102,1,31231,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:20:09,1210,539,691,6901,690101,1,31149,,Inbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,119 - Got fare,Preset,4/12/2022 06:20:13,2226,517,350,3501,350102,1,31231,,Outbound,,,,PRE,,0,0,0,0,,,,,0.00000000,0.00000000,,2.00,0       ,,,
1,116 - Stored value card,ST VALUE,4/12/2022 06:20:13,2226,517,350,3501,350102,1,31231,,Outbound,,,Card ID 87261767,,14,3,1,123,0,No,No,,,0.00000000,0.00000000,0.00,-2.00,0       ,23.75,,
1,119 - Got fare,UC STAFF,4/12/2022 06:20:14,1210,539,691,6901,690101,1,31149,,Inbound,,,,2,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
1,115 - Period pass,31D LOC,4/12/2022 06:20:23,2226,517,350,3501,350102,1,31231,,Outbound,,,Seq #: 6627546,,7,1,4,123,5,,No,0,1,0.00000000,0.00000000,,0.00,0       ,,,
1,119 - Got fare,REDUCED,4/12/2022 06:20:23,2226,517,350,3501,350102,1,31231,,Outbound,,,,,16,6,16,0,0,,,,,0.00000000,0.00000000,,1.00,0       ,,,
1,119 - Got fare,EMERGNCY,4/12/2022 06:20:44,4210,548,750,7501,750101,2,31239,,Outbound,,,,9,,0,0,0,0,,,,,0.00000000,0.00000000,,0.00,0       ,,,
